  -9.7390652851717174e-01   6.6671344308688207e-02
  -8.6506336668898454e-01   1.4945134915058036e-01
  -6.7940956829902444e-01   2.1908636251598199e-01
  -4.3339539412924721e-01   2.6926671930999641e-01
  -1.4887433898163119e-01   2.9552422471475281e-01
   1.4887433898163119e-01   2.9552422471475281e-01
   4.3339539412924721e-01   2.6926671930999641e-01
   6.7940956829902444e-01   2.1908636251598199e-01
   8.6506336668898454e-01   1.4945134915058036e-01
   9.7390652851717174e-01   6.6671344308688207e-02
